date,sales
2010-01-01,81.1
2010-01-02,127.7
2010-01-03,119.5
2010-01-04,55.8
2010-01-05,71.1
2010-01-06,83.8
2010-01-07,92.5
2010-01-08,79.3
2010-01-09,132.9
2010-01-10,126
2010-01-11,72.8
2010-01-12,68
2010-01-13,86.6
2010-01-14,109.2
2010-01-15,97.4
2010-01-16,147.4
2010-01-17,156.1
2010-01-18,87.9
2010-01-19,79.3
2010-01-20,94.2
2010-01-21,139
2010-01-22,113.6
2010-01-23,170.2
2010-01-24,175.9
2010-01-25,121.3
2010-01-26,112.9
2010-01-27,107.9
2010-01-28,136.9
2010-01-29,148.9
2010-01-30,176.5
2010-01-31,188
2010-02-01,121.1
2010-02-02,121.9
2010-02-03,121.8
2010-02-04,171
2010-02-05,171.9
2010-02-06,199.4
2010-02-07,203.4
2010-02-08,146
2010-02-09,134.8
2010-02-10,159.5
2010-02-11,197.1
2010-02-12,168.2
2010-02-13,221.2
2010-02-14,222
2010-02-15,144.4
2010-02-16,167.2
2010-02-17,172.4
2010-02-18,220.2
2010-02-19,177.3
2010-02-20,249.5
2010-02-21,249
2010-02-22,175.4
2010-02-23,164.5
2010-02-24,182.6
2010-02-25,224.6
2010-02-26,209.1
2010-02-27,267.9
2010-02-28,264.6
2010-03-01,185.3
2010-03-02,166.6
2010-03-03,192.8
2010-03-04,244
2010-03-05,205.5
2010-03-06,256.6
2010-03-07,277.4
2010-03-08,194.2
2010-03-09,195.5
2010-03-10,205.6
2010-03-11,253.3
2010-03-12,215.4
2010-03-13,266.1
2010-03-14,298.5
2010-03-15,215.2
2010-03-16,207.5
2010-03-17,176
2010-03-18,256.9
2010-03-19,231.1
2010-03-20,281.6
2010-03-21,304.1
2010-03-22,218.6
2010-03-23,219.3
2010-03-24,194.6
2010-03-25,277.4
2010-03-26,252.6
2010-03-27,290.1
2010-03-28,300
2010-03-29,233.7
2010-03-30,235.7
2010-03-31,200.6
2010-04-01,278.1
2010-04-02,243.1
2010-04-03,292.5
2010-04-04,323.8
2010-04-05,230.3
2010-04-06,249
2010-04-07,199.9
2010-04-08,264.9
2010-04-09,258.5
2010-04-10,294.5
