sales,weather,temperature
40.6433443660977,cloudy,13.7
99.552683486334,cloudy,24
85.3268466330979,cloudy,21.5
69.2878839296147,cloudy,13.4
71.0994248900444,cloudy,28.9
107.189768846666,cloudy,28.9
26.0635264493146,cloudy,12.6
78.7494178617921,cloudy,26.7
47.9159582328538,cloudy,19.4
39.3812033179304,cloudy,21
100.081837781303,cloudy,21.1
47.1990988377183,cloudy,14.8
78.729781709674,cloudy,25.2
48.195755945326,cloudy,13.6
71.0504246196911,cloudy,18.1
111.755862773093,cloudy,27.1
118.967324336502,cloudy,29.5
38.4959041765911,cloudy,14.5
46.873141196552,cloudy,18.9
26.0599380791849,cloudy,11.5
59.203426509462,cloudy,23.2
93.8903561571841,cloudy,17.8
86.8646880819915,cloudy,26.7
39.8607720361555,cloudy,13
53.2325984227148,cloudy,16.9
85.6168910961927,cloudy,19.8
56.4089675263824,cloudy,13
58.0359202974212,cloudy,17.1
82.0055485677538,cloudy,29.3
38.5670250547129,cloudy,12.6
76.2206045457272,cloudy,10.2
67.3488011642006,cloudy,13.3
115.63030673873,cloudy,26.2
82.1793964139197,cloudy,27.4
65.4874836527821,cloudy,20.3
60.8392910286986,cloudy,22.5
83.4922130991956,cloudy,26.9
66.3278919917541,cloudy,15.7
98.6340973149717,cloudy,23.3
60.9625290402546,cloudy,13
100.839701357218,cloudy,29.6
78.2143049453137,cloudy,15.9
67.9570527159068,cloudy,12.3
54.8489706139113,cloudy,13.3
80.5002501448707,cloudy,28.9
103.367997406161,cloudy,25.9
95.8328762865527,cloudy,29.5
88.1594738235486,cloudy,17
63.5403853791551,cloudy,20
69.8365562860941,cloudy,26.2
83.3136928687079,sunny,10.1
65.7062101927466,sunny,10.3
118.832084171575,sunny,23.7
95.6401524826115,sunny,28.6
62.6135487948864,sunny,15.5
125.847062599245,sunny,26.2
119.214447657602,sunny,25.7
137.566015634221,sunny,29.8
75.5063162667985,sunny,22.3
128.688686552655,sunny,24.2
131.507420482329,sunny,25.4
134.731024889032,sunny,27.7
118.046153842658,sunny,22.5
119.651102706689,sunny,15.2
96.1928522978007,sunny,27.2
88.0034422780403,sunny,18.7
100.645859738255,sunny,17.8
85.8952754687864,sunny,19.2
87.2832566128176,sunny,14.4
89.4436475295961,sunny,11.3
78.9449040800337,sunny,15.5
100.356589749529,sunny,16.2
85.2486385251456,sunny,10.8
72.1490596235099,sunny,13.7
69.2893042408565,sunny,13.7
127.388359576394,sunny,25.1
86.9586522894893,sunny,15.8
129.332876691562,sunny,27.4
82.5837208963125,sunny,18.1
122.909405275017,sunny,21.5
72.3533417622967,sunny,17
119.98011003291,sunny,23.4
83.2130385497056,sunny,10.5
99.0198991706079,sunny,18
95.0128403070286,sunny,14
123.727009257957,sunny,27.1
113.928934536049,sunny,29.4
87.2343064396473,sunny,16.5
117.148193473286,sunny,24.7
72.3070085908894,sunny,16.8
110.490455854969,sunny,29.5
125.90642191877,sunny,17.9
62.5116155169853,sunny,17.6
84.4224105200758,sunny,21.2
113.106496344961,sunny,19.3
101.079927947971,sunny,13.9
108.847783812824,sunny,18.5
80.6028795802508,sunny,11.9
85.6081707677041,sunny,12.3
83.4299699861357,sunny,18.8
43.2172422744482,rainy,14
60.5631804305858,rainy,18.6
77.9800573864145,rainy,29.6
96.8174181895126,rainy,26.6
32.8861123981009,rainy,15.7
57.2939449577956,rainy,21.9
69.071060320405,rainy,28
71.6327693884472,rainy,19.1
33.2784260751942,rainy,12.9
57.6621672601224,rainy,12.6
61.8991340210186,rainy,10.5
80.1284285385856,rainy,24.7
69.4769975453805,rainy,17.5
61.9383535997387,rainy,21.5
91.8046298624135,rainy,26.5
64.6682116650741,rainy,26.3
85.5984326945201,rainy,27.5
28.3202093648088,rainy,12.2
86.7552365963072,rainy,29.1
87.8134449252921,rainy,21.4
55.2585169312281,rainy,10.7
48.608607280394,rainy,14.9
80.1722005116821,rainy,29.6
74.3983643533834,rainy,27.7
43.8037147806491,rainy,14.8
85.2197543060212,rainy,25.1
55.9567170417242,rainy,21.3
101.313461353584,rainy,16.1
81.0306501710683,rainy,23.9
45.2516850544831,rainy,16.7
59.0075727243355,rainy,14.1
87.1715589302252,rainy,28.4
38.9917864169965,rainy,10.5
100.24195431696,rainy,29.3
62.2191111634852,rainy,16.3
91.6436929522176,rainy,23.3
61.8832672494044,rainy,20.7
110.943093632198,rainy,26.4
30.7370539137238,rainy,13.7
65.0802925569381,rainy,18
58.7719559056831,rainy,13.6
75.4716118690051,rainy,15.7
54.6327831290618,rainy,22.6
40.9055833600144,rainy,16
90.3847285557611,rainy,18.9
85.4721931259882,rainy,24.6
87.2327870256297,rainy,23.4
46.6020729671158,rainy,16.2
95.8577747074577,rainy,19.6
58.5565997947108,rainy,15.8
