date,sales
2010-01-01,93.5
2010-01-02,81.9
2010-01-03,91
2010-01-04,91.2
2010-01-05,102.5
2010-01-06,92.7
2010-01-07,107
2010-01-08,99.1
2010-01-09,98.2
2010-01-10,118.4
2010-01-11,121.4
2010-01-12,122.6
2010-01-13,126.8
2010-01-14,103.3
2010-01-15,119.6
2010-01-16,104.6
2010-01-17,119.3
2010-01-18,115.7
2010-01-19,121.8
2010-01-20,132.5
2010-01-21,130
2010-01-22,135.5
2010-01-23,131.6
2010-01-24,135.2
2010-01-25,137
2010-01-26,138.2
2010-01-27,134.8
2010-01-28,133.4
2010-01-29,145.7
2010-01-30,136.3
2010-01-31,149.2
2010-02-01,140.6
2010-02-02,151.9
2010-02-03,149.2
2010-02-04,164
2010-02-05,139.4
2010-02-06,163
2010-02-07,161.4
2010-02-08,173.6
2010-02-09,151.4
2010-02-10,166.8
2010-02-11,166.6
2010-02-12,175.4
2010-02-13,150.6
2010-02-14,172.5
2010-02-15,176.7
2010-02-16,160.4
2010-02-17,165.5
2010-02-18,166.3
2010-02-19,161.5
2010-02-20,166
2010-02-21,167.6
2010-02-22,177.6
2010-02-23,159.5
2010-02-24,172.6
2010-02-25,172.6
2010-02-26,168.5
2010-02-27,177.5
2010-02-28,165.9
2010-03-01,172.2
2010-03-02,185
2010-03-03,174.2
2010-03-04,163.6
2010-03-05,159.9
2010-03-06,162.3
2010-03-07,182.8
2010-03-08,169.2
2010-03-09,185.8
2010-03-10,183.9
2010-03-11,167.5
2010-03-12,181.6
2010-03-13,157
2010-03-14,162.9
2010-03-15,167
2010-03-16,171.1
2010-03-17,166.9
2010-03-18,165.5
2010-03-19,160.2
2010-03-20,161
2010-03-21,162.9
2010-03-22,156.5
2010-03-23,161.7
2010-03-24,165.1
2010-03-25,146.5
2010-03-26,150.7
2010-03-27,159.1
2010-03-28,169.7
2010-03-29,175.2
2010-03-30,163.8
2010-03-31,160.4
2010-04-01,135.8
2010-04-02,164.7
2010-04-03,151.6
2010-04-04,137
2010-04-05,140.4
2010-04-06,153.9
2010-04-07,151.1
2010-04-08,140
2010-04-09,147.1
2010-04-10,159.3
