date,sales
2010-01-01,23.9
2010-01-02,19
2010-01-03,20.3
2010-01-04,24.2
2010-01-05,19.3
2010-01-06,16.7
2010-01-07,24.2
2010-01-08,20.5
2010-01-09,18.6
2010-01-10,21.9
2010-01-11,20.8
2010-01-12,14.8
2010-01-13,18.2
2010-01-14,16.7
2010-01-15,15.9
2010-01-16,17.2
2010-01-17,12
2010-01-18,8.9
2010-01-19,11.8
2010-01-20,11.4
2010-01-21,9.8
2010-01-22,12.2
2010-01-23,11.3
2010-01-24,13.7
2010-01-25,11.6
2010-01-26,11.3
2010-01-27,11.9
2010-01-28,15.3
2010-01-29,17.7
2010-01-30,9.9
2010-01-31,14.8
2010-02-01,20.5
2010-02-02,13.1
2010-02-03,18.5
2010-02-04,15.1
2010-02-05,16.5
2010-02-06,17.1
2010-02-07,21.6
2010-02-08,19.9
2010-02-09,20.5
2010-02-10,14.5
2010-02-11,7.8
2010-02-12,11.1
2010-02-13,13.7
2010-02-14,19.4
2010-02-15,11.4
2010-02-16,12.1
2010-02-17,21.2
2010-02-18,11.5
2010-02-19,17.3
2010-02-20,12.5
2010-02-21,11.1
2010-02-22,15.8
2010-02-23,13.8
2010-02-24,14
2010-02-25,18.1
2010-02-26,18.1
2010-02-27,21.5
2010-02-28,18.6
2010-03-01,23.1
2010-03-02,23.7
2010-03-03,15.6
2010-03-04,16.3
2010-03-05,13.7
2010-03-06,21.6
2010-03-07,20.4
2010-03-08,21.7
2010-03-09,19.2
2010-03-10,23.6
2010-03-11,16.3
2010-03-12,14.2
2010-03-13,19.3
2010-03-14,19.1
2010-03-15,14
2010-03-16,19.9
2010-03-17,18.2
2010-03-18,19.7
2010-03-19,17.3
2010-03-20,14.4
2010-03-21,15.3
2010-03-22,14
2010-03-23,10.2
2010-03-24,20.7
2010-03-25,9.9
2010-03-26,14.8
2010-03-27,12.7
2010-03-28,10.6
2010-03-29,12.9
2010-03-30,15.5
2010-03-31,9
2010-04-01,11.6
2010-04-02,10.8
2010-04-03,8.1
2010-04-04,7.3
2010-04-05,5.9
2010-04-06,6.2
2010-04-07,13.4
2010-04-08,8.6
2010-04-09,8
2010-04-10,10.7
